Country Code;Country;Item Code;Item;Element Code;Element;Unit;Y1961;Y1961F;Y1962;Y1962F;Y1963;Y1963F;Y1964;Y1964F;Y1965;Y1965F;Y1966;Y1966F;Y1967;Y1967F;Y1968;Y1968F;Y1969;Y1969F;Y1970;Y1970F;Y1971;Y1971F;Y1972;Y1972F;Y1973;Y1973F;Y1974;Y1974F;Y1975;Y1975F;Y1976;Y1976F;Y1977;Y1977F;Y1978;Y1978F;Y1979;Y1979F;Y1980;Y1980F;Y1981;Y1981F;Y1982;Y1982F;Y1983;Y1983F;Y1984;Y1984F;Y1985;Y1985F;Y1986;Y1986F;Y1987;Y1987F;Y1988;Y1988F;Y1989;Y1989F;Y1990;Y1990F;Y1991;Y1991F;Y1992;Y1992F;Y1993;Y1993F;Y1994;Y1994F;Y1995;Y1995F;Y1996;Y1996F;Y1997;Y1997F;Y1998;Y1998F;Y1999;Y1999F;Y2000;Y2000F;Y2001;Y2001F;Y2002;Y2002F;Y2003;Y2003F;Y2004;Y2004F;Y2005;Y2005F;Y2006;Y2006F;Y2007;Y2007F;Y2008;Y2008F;Y2009;Y2009F;Y2010;Y2010F;Y2011;Y2011F;Y2012;Y2012F;Y2013;Y2013F
54;Denmark;1632;Sawnwood (C);5516;Production;m3;265000.00;Q;325000.00;Q;255000.00;Q;290000.00;Q;320000.00;Q;320251.00;Q;395000.00;Q;350000.00;X;416000.00;X;403000.00;X;398500.00;F;363000.00;Q;382500.00;Q;370000.00;Q;350000.00;Q;405000.00;Q;405000.00;Q;403000.00;Q;400000.00;Q;400000.00;Q;414500.00;Q;414500.00;Q;414500.00;Q;414500.00;F;464500.00;Q;464500.00;F;455500.00;F;455500.00;F;455500.00;F;455500.00;F;455500.00;Q;368000.00;Q;338000.00;Q;338000.00;Ft;338000.00;Ft;338000.00;Ft;338000.00;Ft;191000.00;Q;297000.00;Q;327000.00;Q;240000.00;Q;217000.00;W;225000.00;W;175000.00;W;175000.00;F;250000.00;W;250000.00;W;250000.00;W;250000.00;W;239158.00;X;248397.00;W;248397.00;F;294000.00;W
54;Denmark;1632;Sawnwood (C);5616;Import Quantity;m3;864850.00;Q;949650.00;Q;834350.00;Q;1084650.00;Q;1185700.00;Q;978050.00;Q;1052850.00;Q;944000.00;Q;1192850.00;Q;1247250.00;Q;1109700.00;Q;1447600.00;Q;1725150.00;Q;1184700.00;Q;933350.00;Q;1421200.00;Q;1287000.00;Q;1405450.00;Q;1506000.00;Q;1232550.00;Q;871750.00;Q;988550.00;Q;1236100.00;Q;1360650.00;Q;1330200.00;Q;1634000.00;Q;1466500.00;Q;1473750.00;Q;1430500.00;Q;1483500.00;Q;1433000.00;Q;1663604.00;Q;1682000.00;Q;2278000.00;Q;1868000.00;Q;1585000.00;Q;2254000.00;Q;4046000.00;Q;4569000.00;Q;2794000.00;X;2465000.00;Q;2428633.00;W;2171681.00;W;2065652.00;X;2024780.00;X;1858123.00;X;1723397.00;X;1645256.00;W;1166577.00;W;1221706.00;W;1242124.00;W;1272738.00;W;1784000.00;W
54;Denmark;1632;Sawnwood (C);5622;Import Value;1000 US$;39124.00;Q;41843.00;Q;37746.00;Q;52704.00;Q;63099.00;Q;52980.00;Q;54055.00;Q;47409.00;Q;63062.00;Q;69568.00;Q;64871.00;Q;88171.00;Q;149355.00;Q;178496.00;Q;126629.00;Q;195622.00;Q;204318.00;Q;217089.00;Q;269269.00;Q;261788.00;Q;160282.00;Q;181890.00;F;181219.00;Q;200043.00;F;195620.00;Q;285296.00;Q;304432.00;Q;310433.00;Q;324542.00;Q;413125.00;Q;381078.00;Q;420456.00;Q;346484.00;Q;522921.00;Q;428799.00;F;410550.00;Q;544561.00;Q;494255.00;Q;448968.00;Q;422409.00;Q;360783.00;Q;376715.00;W;474510.00;W;492142.00;W;481711.00;W;580380.00;W;720503.00;W;497816.00;W;330867.00;X;331970.00;W;354858.00;W;307387.00;W;314896.00;W
54;Denmark;1632;Sawnwood (C);5916;Export Quantity;m3;17500.00;Q;23600.00;Q;24300.00;Q;24750.00;Q;19000.00;Q;14700.00;Q;9950.00;Q;21800.00;Q;30450.00;Q;35400.00;Q;32550.00;Q;23400.00;Q;15200.00;Q;25250.00;Q;27850.00;Q;27100.00;Q;25700.00;Q;36050.00;Q;51800.00;Q;101200.00;Q;104450.00;Q;133250.00;Q;161300.00;Q;115300.00;Q;76500.00;Q;58100.00;Q;68500.00;Q;93050.00;Q;167500.00;Q;81000.00;Q;73000.00;Q;137065.00;Q;73468.00;Q;54000.00;Q;47000.00;Q;47000.00;Q;110100.00;Q;227000.00;Q;114000.00;Q;102000.00;Q;84000.00;Q;233313.00;W;96999.00;W;94795.00;X;88497.00;X;262854.00;W;309591.00;W;284275.00;W;268390.00;W;274822.00;W;386226.00;W;224393.00;W;176000.00;W
54;Denmark;1632;Sawnwood (C);5922;Export Value;1000 US$;777.00;Q;1012.00;Q;987.00;Q;1026.00;Q;862.00;Q;713.00;Q;487.00;Q;970.00;Q;1185.00;Q;1494.00;Q;1709.00;Q;1516.00;Q;1319.00;Q;3747.00;Q;3884.00;Q;4537.00;Q;4861.00;Q;7056.00;Q;10488.00;Q;19257.00;Q;19854.00;Q;25398.00;F;24607.00;Q;17607.00;F;11607.00;Q;12629.00;Q;14773.00;Q;18492.00;Q;30194.00;Q;33390.00;Q;37830.00;Q;37952.00;Q;24057.00;Q;32699.00;Q;47145.00;Q;41865.00;Q;70695.00;Q;74914.00;Q;33257.00;Q;27012.00;Q;18628.00;Q;35328.00;W;24374.00;W;21000.00;W;19577.00;W;30249.00;W;34897.00;W;49691.00;W;47533.00;X;39166.00;X;37130.00;W;29883.00;W;30482.00;W
72;Djibouti;1632;Sawnwood (C);5616;Import Quantity;m3;1300.00;Q;1300.00;Q;2000.00;Q;2400.00;Q;;;;;;;;;;;;;;;;;0.00;F;;;;;;;500.00;X;;;;;;;1400.00;Q;2600.00;Q;1400.00;Q;1400.00;F;3588.00;X;2713.00;X;2963.00;X;5705.00;X;2619.00;X;7690.00;X;7690.00;X;1070.00;Q;621.00;Q;62.00;Q;571.00;Q;571.00;Ft;4.00;Q;670.00;Q;1990.00;Q;1028.00;F;1028.00;Ft;1028.00;Ft;1028.00;Ft;1509.00;F;1509.00;Ft;1917.00;X;873.00;X;852.00;X;2790.00;X;1223.00;W;1563.00;W;1780.00;W;9415.00;W
72;Djibouti;1632;Sawnwood (C);5622;Import Value;1000 US$;119.00;X;119.00;Q;183.00;Q;223.00;Q;;;;;;;;;;;;;;;;;0.00;F;;;;;;;76.00;X;;;;;;;224.00;Q;529.00;Q;343.00;Q;343.00;F;409.00;X;378.00;X;601.00;X;800.00;X;426.00;X;1145.00;X;1145.00;X;161.00;Q;83.00;Q;25.00;Q;101.00;Q;101.00;Ft;1.00;Q;119.00;Q;243.00;Q;114.00;F;114.00;Ft;114.00;Ft;114.00;Ft;262.00;F;262.00;Ft;390.00;X;377.00;X;391.00;X;1259.00;X;492.00;W;878.00;W;894.00;W;5737.00;W
72;Djibouti;1632;Sawnwood (C);5916;Export Quantity;m3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150.00;Q;46.00;Q;46.00;Ft;0.00;Q;0.00;Q;0.00;Ft;46.00;Q;22.00;Q;22.00;Ft;22.00;Ft;22.00;Ft;46.00;F;46.00;Ft;46.00;Ft;46.00;Fp;46.00;Fp;46.00;Fp;216.00;X;11.00;W;11.00;Fp;108.00;W;108.00;Fp
72;Djibouti;1632;Sawnwood (C);5922;Export Value;1000 US$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35.00;Q;10.00;Q;10.00;Ft;0.00;Q;0.00;Q;0.00;Ft;7.00;Q;4.00;Q;4.00;Ft;4.00;Ft;4.00;Ft;19.00;F;19.00;Ft;19.00;Ft;19.00;Fp;19.00;Fp;19.00;Fp;260.00;X;15.00;W;15.00;Fp;40.00;W;40.00;Fp
55;Dominica;1632;Sawnwood (C);5616;Import Quantity;m3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;300.00;Q;900.00;Q;400.00;Q;1300.00;Q;1200.00;Q;1000.00;Q;300.00;Q;500.00;X;600.00;X;5515.00;X;5515.00;X;3647.00;Q;3889.00;Q;4500.00;Q;5621.00;Q;5500.00;Q;8200.00;Q;4191.00;Q;6022.00;Q;7334.00;F;14300.00;Q;2835.00;F;1907.00;F;8970.00;F;8970.00;Ft;3462.00;X;8973.00;X;3393.00;X;3613.00;X;1270.00;W;4236.00;W;8800.00;W;3604.00;W
55;Dominica;1632;Sawnwood (C);5622;Import Value;1000 US$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;72.00;Q;230.00;Q;98.00;Q;352.00;Q;305.00;Q;193.00;Q;90.00;Q;295.00;F;368.00;X;1427.00;X;1427.00;X;722.00;Q;863.00;Q;999.00;Q;1106.00;Q;1441.00;Q;2056.00;Q;751.00;Q;1764.00;Q;2391.00;F;1715.00;Q;941.00;F;1100.00;F;1561.00;F;1561.00;Ft;1279.00;X;2516.00;X;2614.00;X;1749.00;X;2040.00;W;1851.00;W;1781.00;W;1510.00;W
55;Dominica;1632;Sawnwood (C);5916;Export Quantity;m3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29.00;Q;;;0.00;Ft;0.00;Ft;0.00;Ft;0.00;Ft;0.00;Ft;0.00;Ft;0.00;Ft;0.00;Ft;0.00;Ft;31.00;F;103.00;F;103.00;Ft;2465.00;X;2465.00;Fp;188.00;X;188.00;Fp;188.00;Fp;188.00;Fp;188.00;Fp;202.00;W
55;Dominica;1632;Sawnwood (C);5922;Export Value;1000 US$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.00;Q;;;0.00;Ft;0.00;Ft;0.00;Ft;0.00;Ft;0.00;Ft;0.00;Ft;0.00;Ft;0.00;Ft;0.00;Ft;20.00;F;17.00;F;17.00;Ft;411.00;X;411.00;Fp;59.00;X;59.00;Fp;59.00;Fp;59.00;Fp;59.00;Fp;114.00;W
56;Dominican Republic;1632;Sawnwood (C);5516;Production;m3;62150.00;Q;62750.00;Q;101150.00;Q;86500.00;Q;90500.00;Q;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;F;;;;;;;;;;;;;0.00;Ft;0.00;Ft;0.00;Ft;0.00;Ft;0.00;Ft;0.00;Ft;0.00;Ft;0.00;Ft;0.00;Ft;0.00;Ft;0.00;Ft;0.00;Ft;46000.00;Q;53000.00;Q;37000.00;Q;32000.00;Q;10000.00;Q;10000.00;Fp;10000.00;Fp;10000.00;Fp
56;Dominican Republic;1632;Sawnwood (C);5616;Import Quantity;m3;;;;;;;;;1300.00;Q;2000.00;Q;3400.00;Q;107400.00;Q;86100.00;Q;91900.00;Q;100100.00;Q;301100.00;Q;220200.00;Q;213300.00;Q;213300.00;F;256900.00;Q;213800.00;X;351000.00;X;54500.00;Q;59600.00;Q;75300.00;Q;90600.00;Q;76700.00;Q;53400.00;Q;35300.00;Q;35300.00;F;21400.00;Q;60000.00;X;149800.00;X;122000.00;F;122000.00;F;206202.00;Q;212358.00;Q;247440.00;Q;265800.00;Q;203200.00;Q;272000.00;Q;275000.00;Q;273700.00;Q;243000.00;Q;282300.00;Q;260900.00;X;204400.00;X;188700.00;X;193800.00;X;241200.00;X;178016.00;W;239369.00;W;239369.00;F;202000.00;W;181929.00;W;180000.00;W;111536.00;W
56;Dominican Republic;1632;Sawnwood (C);5622;Import Value;1000 US$;;;;;;;;;218.00;Q;339.00;Q;177.00;Q;3312.00;Q;2890.00;Q;5170.00;Q;5200.00;Q;15000.00;X;11000.00;X;12000.00;Q;12000.00;F;15500.00;X;24244.00;X;40000.00;X;8373.00;Q;8890.00;Q;14561.00;Q;11289.00;Q;8492.00;Q;7578.00;Q;4183.00;Q;4183.00;F;2600.00;F;6000.00;X;24500.00;F;16300.00;F;16300.00;F;32010.00;Q;39942.00;Q;48406.00;Q;49913.00;Q;38290.00;Q;58144.00;Q;55797.00;Q;55656.00;Q;49510.00;Q;49743.00;Q;50752.00;X;35941.00;X;34091.00;X;40310.00;X;51611.00;X;49769.00;W;59951.00;Q;32597.00;Q;52988.00;Q;50923.00;W;50069.00;W;46636.00;W
